FAT Phase 3 V2 Training Log (Combined Loss)
======================================================================
Num epochs: 10
Batch size: 1
Max ahead: 3
Learning rate: 1e-05
Weight decay: 0.0001
Lambda flow: 1.0
Lambda calib: 0.0001
GradScaler: Enabled
Alternating training: Disabled (train both)
Validation: Enabled
Benchmark: Enabled
Device: cuda:0
======================================================================

[TRAIN] Epoch 1 | Batch 690/8005 | Loss: -0.315625 | Flow: -0.316645 | Calib: 10.2016 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 700/8005 | Loss: -0.311596 | Flow: -0.314572 | Calib: 29.7562 | CalibContrib: 0.9%
[TRAIN] Epoch 1 | Batch 710/8005 | Loss: -0.344453 | Flow: -0.345083 | Calib: 6.3029 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 720/8005 | Loss: -0.306306 | Flow: -0.307095 | Calib: 7.8897 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 730/8005 | Loss: -0.326121 | Flow: -0.326743 | Calib: 6.2136 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 740/8005 | Loss: -0.344095 | Flow: -0.344474 | Calib: 3.7858 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 750/8005 | Loss: -0.310865 | Flow: -0.311402 | Calib: 5.3686 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 760/8005 | Loss: -0.305020 | Flow: -0.305829 | Calib: 8.0917 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 770/8005 | Loss: -0.333217 | Flow: -0.333850 | Calib: 6.3340 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 780/8005 | Loss: -0.336303 | Flow: -0.336874 | Calib: 5.7102 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 790/8005 | Loss: -0.336480 | Flow: -0.337151 | Calib: 6.7129 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 800/8005 | Loss: -0.346217 | Flow: -0.347149 | Calib: 9.3169 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 810/8005 | Loss: -0.328194 | Flow: -0.328795 | Calib: 6.0184 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 820/8005 | Loss: -0.334881 | Flow: -0.335467 | Calib: 5.8594 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 830/8005 | Loss: -0.299621 | Flow: -0.300611 | Calib: 9.8953 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 840/8005 | Loss: -0.310518 | Flow: -0.311496 | Calib: 9.7808 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 850/8005 | Loss: -0.311365 | Flow: -0.312045 | Calib: 6.8042 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 860/8005 | Loss: -0.332874 | Flow: -0.334042 | Calib: 11.6782 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 870/8005 | Loss: -0.323053 | Flow: -0.323515 | Calib: 4.6223 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 880/8005 | Loss: -0.343339 | Flow: -0.344040 | Calib: 7.0035 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 890/8005 | Loss: -0.309335 | Flow: -0.309873 | Calib: 5.3764 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 900/8005 | Loss: -0.326736 | Flow: -0.327226 | Calib: 4.9069 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 910/8005 | Loss: -0.344504 | Flow: -0.345154 | Calib: 6.4995 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 920/8005 | Loss: -0.329317 | Flow: -0.330183 | Calib: 8.6564 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 930/8005 | Loss: -0.339521 | Flow: -0.340221 | Calib: 6.9979 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 940/8005 | Loss: -0.312770 | Flow: -0.314784 | Calib: 20.1422 | CalibContrib: 0.6%
[TRAIN] Epoch 1 | Batch 950/8005 | Loss: -0.332823 | Flow: -0.333485 | Calib: 6.6232 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 960/8005 | Loss: -0.330514 | Flow: -0.331410 | Calib: 8.9626 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 970/8005 | Loss: -0.350611 | Flow: -0.350979 | Calib: 3.6740 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 980/8005 | Loss: -0.312034 | Flow: -0.312931 | Calib: 8.9726 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 990/8005 | Loss: -0.324878 | Flow: -0.325292 | Calib: 4.1476 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1000/8005 | Loss: -0.317830 | Flow: -0.318296 | Calib: 4.6557 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1010/8005 | Loss: -0.298267 | Flow: -0.298770 | Calib: 5.0223 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1020/8005 | Loss: -0.351521 | Flow: -0.351815 | Calib: 2.9457 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1030/8005 | Loss: -0.314728 | Flow: -0.315510 | Calib: 7.8126 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1040/8005 | Loss: -0.349968 | Flow: -0.350447 | Calib: 4.7897 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1050/8005 | Loss: -0.326527 | Flow: -0.326884 | Calib: 3.5705 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1060/8005 | Loss: -0.313013 | Flow: -0.313705 | Calib: 6.9151 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1070/8005 | Loss: -0.353959 | Flow: -0.354431 | Calib: 4.7167 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1080/8005 | Loss: -0.317378 | Flow: -0.318651 | Calib: 12.7340 | CalibContrib: 0.4%
[TRAIN] Epoch 1 | Batch 1090/8005 | Loss: -0.322357 | Flow: -0.322847 | Calib: 4.8942 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1100/8005 | Loss: -0.337240 | Flow: -0.337724 | Calib: 4.8426 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1110/8005 | Loss: -0.342027 | Flow: -0.342330 | Calib: 3.0361 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1120/8005 | Loss: -0.350538 | Flow: -0.351020 | Calib: 4.8210 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1130/8005 | Loss: -0.308090 | Flow: -0.308792 | Calib: 7.0200 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1140/8005 | Loss: -0.319850 | Flow: -0.321555 | Calib: 17.0531 | CalibContrib: 0.5%
[TRAIN] Epoch 1 | Batch 1150/8005 | Loss: -0.345722 | Flow: -0.346031 | Calib: 3.0902 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1160/8005 | Loss: -0.348191 | Flow: -0.348491 | Calib: 2.9988 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1170/8005 | Loss: -0.346598 | Flow: -0.346958 | Calib: 3.5968 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1180/8005 | Loss: -0.351475 | Flow: -0.351996 | Calib: 5.2112 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1190/8005 | Loss: -0.346212 | Flow: -0.346717 | Calib: 5.0448 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1200/8005 | Loss: -0.347054 | Flow: -0.347481 | Calib: 4.2731 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1210/8005 | Loss: -0.319470 | Flow: -0.320074 | Calib: 6.0485 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1220/8005 | Loss: -0.324404 | Flow: -0.324857 | Calib: 4.5268 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1230/8005 | Loss: -0.348371 | Flow: -0.349041 | Calib: 6.7038 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1240/8005 | Loss: -0.322885 | Flow: -0.323501 | Calib: 6.1516 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1250/8005 | Loss: -0.299919 | Flow: -0.300412 | Calib: 4.9246 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1260/8005 | Loss: -0.336763 | Flow: -0.338727 | Calib: 19.6362 | CalibContrib: 0.6%
[TRAIN] Epoch 1 | Batch 1270/8005 | Loss: -0.353107 | Flow: -0.353404 | Calib: 2.9661 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1280/8005 | Loss: -0.325392 | Flow: -0.326149 | Calib: 7.5700 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1290/8005 | Loss: -0.328843 | Flow: -0.329250 | Calib: 4.0673 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1300/8005 | Loss: -0.340940 | Flow: -0.341453 | Calib: 5.1313 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1310/8005 | Loss: -0.341255 | Flow: -0.341571 | Calib: 3.1644 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1320/8005 | Loss: -0.329153 | Flow: -0.329667 | Calib: 5.1443 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1330/8005 | Loss: -0.351145 | Flow: -0.351432 | Calib: 2.8673 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1340/8005 | Loss: -0.276652 | Flow: -0.277881 | Calib: 12.2933 | CalibContrib: 0.4%
[TRAIN] Epoch 1 | Batch 1350/8005 | Loss: -0.318118 | Flow: -0.319099 | Calib: 9.8059 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 1360/8005 | Loss: -0.296748 | Flow: -0.297713 | Calib: 9.6437 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 1370/8005 | Loss: -0.338073 | Flow: -0.338619 | Calib: 5.4614 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1380/8005 | Loss: -0.339465 | Flow: -0.339757 | Calib: 2.9194 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1390/8005 | Loss: -0.330526 | Flow: -0.332350 | Calib: 18.2471 | CalibContrib: 0.5%
[TRAIN] Epoch 1 | Batch 1400/8005 | Loss: -0.356910 | Flow: -0.357212 | Calib: 3.0161 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1410/8005 | Loss: -0.343903 | Flow: -0.344241 | Calib: 3.3804 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1420/8005 | Loss: -0.350440 | Flow: -0.350978 | Calib: 5.3761 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1430/8005 | Loss: -0.315933 | Flow: -0.316594 | Calib: 6.6181 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1440/8005 | Loss: -0.328212 | Flow: -0.328518 | Calib: 3.0618 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1450/8005 | Loss: -0.324515 | Flow: -0.325131 | Calib: 6.1525 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1460/8005 | Loss: -0.343216 | Flow: -0.343677 | Calib: 4.6092 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1470/8005 | Loss: -0.347634 | Flow: -0.347972 | Calib: 3.3815 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1480/8005 | Loss: -0.343326 | Flow: -0.343856 | Calib: 5.3007 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1490/8005 | Loss: -0.345471 | Flow: -0.345897 | Calib: 4.2547 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1500/8005 | Loss: -0.341849 | Flow: -0.342218 | Calib: 3.6840 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1510/8005 | Loss: -0.324611 | Flow: -0.325663 | Calib: 10.5201 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 1520/8005 | Loss: -0.323161 | Flow: -0.323666 | Calib: 5.0447 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1530/8005 | Loss: -0.335394 | Flow: -0.335669 | Calib: 2.7514 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1540/8005 | Loss: -0.333379 | Flow: -0.333749 | Calib: 3.6953 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1550/8005 | Loss: -0.331007 | Flow: -0.331428 | Calib: 4.2099 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1560/8005 | Loss: -0.345607 | Flow: -0.346056 | Calib: 4.4997 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1570/8005 | Loss: -0.332554 | Flow: -0.333049 | Calib: 4.9447 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1580/8005 | Loss: -0.350941 | Flow: -0.351475 | Calib: 5.3390 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1590/8005 | Loss: -0.345889 | Flow: -0.346380 | Calib: 4.9083 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1600/8005 | Loss: -0.331710 | Flow: -0.332250 | Calib: 5.4007 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1610/8005 | Loss: -0.335704 | Flow: -0.335981 | Calib: 2.7627 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1620/8005 | Loss: -0.334952 | Flow: -0.335504 | Calib: 5.5137 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1630/8005 | Loss: -0.350565 | Flow: -0.351041 | Calib: 4.7664 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1640/8005 | Loss: -0.333371 | Flow: -0.333735 | Calib: 3.6371 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1650/8005 | Loss: -0.331495 | Flow: -0.332381 | Calib: 8.8567 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 1660/8005 | Loss: -0.324994 | Flow: -0.326022 | Calib: 10.2743 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 1670/8005 | Loss: -0.341845 | Flow: -0.342208 | Calib: 3.6340 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1680/8005 | Loss: -0.349759 | Flow: -0.350159 | Calib: 4.0046 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1690/8005 | Loss: -0.342929 | Flow: -0.343305 | Calib: 3.7689 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1700/8005 | Loss: -0.332656 | Flow: -0.333135 | Calib: 4.7940 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1710/8005 | Loss: -0.343039 | Flow: -0.343298 | Calib: 2.5869 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1720/8005 | Loss: -0.352711 | Flow: -0.353162 | Calib: 4.5158 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1730/8005 | Loss: -0.338551 | Flow: -0.339349 | Calib: 7.9773 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1740/8005 | Loss: -0.332940 | Flow: -0.333249 | Calib: 3.0875 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1750/8005 | Loss: -0.348645 | Flow: -0.348901 | Calib: 2.5635 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1760/8005 | Loss: -0.336102 | Flow: -0.336553 | Calib: 4.5050 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1770/8005 | Loss: -0.354129 | Flow: -0.354774 | Calib: 6.4500 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1780/8005 | Loss: -0.347927 | Flow: -0.348297 | Calib: 3.7033 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1790/8005 | Loss: -0.348352 | Flow: -0.348869 | Calib: 5.1716 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1800/8005 | Loss: -0.341133 | Flow: -0.341441 | Calib: 3.0757 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1810/8005 | Loss: -0.325882 | Flow: -0.326386 | Calib: 5.0396 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 1820/8005 | Loss: -0.324607 | Flow: -0.325024 | Calib: 4.1741 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1830/8005 | Loss: -0.349473 | Flow: -0.349681 | Calib: 2.0818 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1840/8005 | Loss: -0.345137 | Flow: -0.345553 | Calib: 4.1617 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1850/8005 | Loss: -0.336372 | Flow: -0.336707 | Calib: 3.3461 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1860/8005 | Loss: -0.343579 | Flow: -0.343954 | Calib: 3.7493 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 1870/8005 | Loss: -0.328651 | Flow: -0.329116 | Calib: 4.6553 | CalibContrib: 0.1%
